U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0010878 ; 13.59755 ; 16.31706
1.1766667 ; 0.0008779 ; 10.9735512 ; 12.912212
1.1533333 ; 0.000675 ; 8.4376562 ; 9.7314302
1.13 ; 0.0004624 ; 5.780055 ; 6.5314621
1.1066667 ; 0.0002595 ; 3.2442637 ; 3.5903185
1.0833333 ; 7.83e-05 ; 0.9787641 ; 1.0603278
1.06 ; -7.92e-05 ; -0.9902056 ; -1.049618
1.0366667 ; -0.0002111 ; -2.63856 ; -2.7353072
1.0133333 ; -0.0003275 ; -4.0936325 ; -4.1482143
0.99 ; -0.0004257 ; -5.3214875 ; -5.2682726
0.9666667 ; -0.0005053 ; -6.3163262 ; -6.105782
0.9433333 ; -0.0005775 ; -7.2184413 ; -6.8093962
0.92 ; -0.0006322 ; -7.9018762 ; -7.2697261
0.8966667 ; -0.0006841 ; -8.55161 ; -7.6679436
0.8733333 ; -0.0007236 ; -9.0446012 ; -7.8989518
0.85 ; -0.0007626 ; -9.5324562 ; -8.1025878
0.8266667 ; -0.0007935 ; -9.9188812 ; -8.1996085
0.8033333 ; -0.00082 ; -10.2496088 ; -8.2338524
0.78 ; -0.000844 ; -10.54984 ; -8.2288752
0.7566667 ; -0.0008673 ; -10.8409325 ; -8.2029723
0.7333333 ; -0.0008861 ; -11.0765737 ; -8.1228207
0.71 ; -0.0009078 ; -11.3475225 ; -8.056741
0.6866667 ; -0.0009232 ; -11.54044 ; -7.9244355
0.6633333 ; -0.0009366 ; -11.7071862 ; -7.7657669
0.64 ; -0.0009499 ; -11.8743688 ; -7.599596
0.6166667 ; -0.0009627 ; -12.0343163 ; -7.4211617
0.5933333 ; -0.0009703 ; -12.1289325 ; -7.1964999
0.57 ; -0.0009859 ; -12.3241412 ; -7.0247605
0.5466667 ; -0.0009944 ; -12.430245 ; -6.7952006
0.5233333 ; -0.0010052 ; -12.564875 ; -6.5756179
0.5 ; -0.0010112 ; -12.6399875 ; -6.3199937
0.4766667 ; -0.0010199 ; -12.748875 ; -6.0769637
0.4533333 ; -0.0010326 ; -12.9069375 ; -5.851145
0.43 ; -0.001036 ; -12.949525 ; -5.5682957
0.4066667 ; -0.0010445 ; -13.0564375 ; -5.3096179
0.3833333 ; -0.0010523 ; -13.1534625 ; -5.0421606
0.36 ; -0.0010578 ; -13.2229375 ; -4.7602575
0.3366667 ; -0.0010652 ; -13.315025 ; -4.4827251
0.3133333 ; -0.001071 ; -13.3871125 ; -4.1946286
0.29 ; -0.0010763 ; -13.454075 ; -3.9016817
0.2666667 ; -0.0010762 ; -13.4520625 ; -3.5872167
0.2433333 ; -0.0010847 ; -13.5591375 ; -3.2993901
0.22 ; -0.0010849 ; -13.5611375 ; -2.9834502
0.1966667 ; -0.0010945 ; -13.681475 ; -2.6906901
0.1733333 ; -0.0010986 ; -13.7326875 ; -2.3803325
0.15 ; -0.0010973 ; -13.7157375 ; -2.0573606
0.1266667 ; -0.0011029 ; -13.786125 ; -1.7462425
0.1033333 ; -0.0011123 ; -13.9040625 ; -1.4367531
0.08 ; -0.0011134 ; -13.9177125 ; -1.113417
0.0566667 ; -0.0011145 ; -13.9308875 ; -0.789417
0.0333333 ; -0.0011196 ; -13.99485 ; -0.466495
0.01 ; -0.0011251 ; -14.0638125 ; -0.1406381
-0.0133333 ; -0.0011315 ; -14.143925 ; 0.1885857
-0.0366667 ; -0.0011255 ; -14.069175 ; 0.5158698
-0.06 ; -0.0011356 ; -14.194875 ; 0.8516925
-0.0833333 ; -0.001135 ; -14.187575 ; 1.1822979
-0.1066667 ; -0.0011368 ; -14.209825 ; 1.5157147
-0.13 ; -0.0011369 ; -14.2107875 ; 1.8474024
-0.1533333 ; -0.0011401 ; -14.2518 ; 2.185276
-0.1766667 ; -0.0011429 ; -14.2859625 ; 2.5238534
-0.2 ; -0.0011471 ; -14.338775 ; 2.867755
