U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0005167 ; 6.4587625 ; 7.750515
1.1766667 ; 0.0005105 ; 6.3817112 ; 7.5091469
1.1533333 ; 0.0004552 ; 5.6900225 ; 6.5624926
1.13 ; 0.0003836 ; 4.7946613 ; 5.4179672
1.1066667 ; 0.0003048 ; 3.8098413 ; 4.2162243
1.0833333 ; 0.0002241 ; 2.80134 ; 3.034785
1.06 ; 0.0001429 ; 1.7864875 ; 1.8936767
1.0366667 ; 6.38e-05 ; 0.7976935 ; 0.8269423
1.0133333 ; -1.43e-05 ; -0.1792418 ; -0.1816316
0.99 ; -9.23e-05 ; -1.1542955 ; -1.1427525
0.9666667 ; -0.0001648 ; -2.0604813 ; -1.9917985
0.9433333 ; -0.0002385 ; -2.9815475 ; -2.8125931
0.92 ; -0.0003079 ; -3.8486588 ; -3.540766
0.8966667 ; -0.0003758 ; -4.69809 ; -4.2126207
0.8733333 ; -0.0004409 ; -5.5114387 ; -4.8133232
0.85 ; -0.0005058 ; -6.3226512 ; -5.3742536
0.8266667 ; -0.0005672 ; -7.0894987 ; -5.8606523
0.8033333 ; -0.0006257 ; -7.8210212 ; -6.2828871
0.78 ; -0.0006826 ; -8.533085 ; -6.6558063
0.7566667 ; -0.0007363 ; -9.2032388 ; -6.963784
0.7333333 ; -0.000786 ; -9.8255675 ; -7.2054162
0.71 ; -0.0008339 ; -10.4242763 ; -7.4012361
0.6866667 ; -0.000881 ; -11.0124575 ; -7.5618875
0.6633333 ; -0.000922 ; -11.5248187 ; -7.6447964
0.64 ; -0.0009576 ; -11.9697875 ; -7.660664
0.6166667 ; -0.0009861 ; -12.3265612 ; -7.6013794
0.5933333 ; -0.0010164 ; -12.704625 ; -7.5380775
0.57 ; -0.001045 ; -13.0625125 ; -7.4456321
0.5466667 ; -0.0010637 ; -13.2959875 ; -7.2684732
0.5233333 ; -0.0010838 ; -13.5477875 ; -7.0900088
0.5 ; -0.0011025 ; -13.7810125 ; -6.8905062
0.4766667 ; -0.001117 ; -13.9628125 ; -6.6556073
0.4533333 ; -0.0011256 ; -14.0697625 ; -6.3782923
0.43 ; -0.0011383 ; -14.2284125 ; -6.1182174
0.4066667 ; -0.0011509 ; -14.386075 ; -5.8503372
0.3833333 ; -0.0011565 ; -14.456625 ; -5.5417062
0.36 ; -0.0011651 ; -14.5639125 ; -5.2430085
0.3366667 ; -0.0011756 ; -14.6956125 ; -4.9475229
0.3133333 ; -0.0011781 ; -14.726125 ; -4.6141858
0.29 ; -0.0011825 ; -14.7810625 ; -4.2865081
0.2666667 ; -0.0011862 ; -14.8273 ; -3.9539467
0.2433333 ; -0.001196 ; -14.949525 ; -3.6377177
0.22 ; -0.0011972 ; -14.9651625 ; -3.2923357
0.1966667 ; -0.0012048 ; -15.05965 ; -2.9617312
0.1733333 ; -0.001208 ; -15.099475 ; -2.6172423
0.15 ; -0.0012051 ; -15.063325 ; -2.2594987
0.1266667 ; -0.001215 ; -15.1879375 ; -1.9238054
0.1033333 ; -0.001218 ; -15.2255625 ; -1.5733081
0.08 ; -0.001219 ; -15.237875 ; -1.21903
0.0566667 ; -0.0012256 ; -15.3198375 ; -0.8681241
0.0333333 ; -0.0012279 ; -15.34815 ; -0.511605
0.01 ; -0.0012304 ; -15.3806125 ; -0.1538061
-0.0133333 ; -0.0012327 ; -15.409275 ; 0.205457
-0.0366667 ; -0.0012338 ; -15.422575 ; 0.5654944
-0.06 ; -0.001245 ; -15.5619375 ; 0.9337163
-0.0833333 ; -0.0012386 ; -15.4828 ; 1.2902333
-0.1066667 ; -0.0012499 ; -15.6243625 ; 1.6665987
-0.13 ; -0.0012471 ; -15.5888625 ; 2.0265521
-0.1533333 ; -0.0012527 ; -15.6589 ; 2.4010313
-0.1766667 ; -0.0012536 ; -15.670525 ; 2.7684594
-0.2 ; -0.0012496 ; -15.6205625 ; 3.1241125
