U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0009099 ; 11.3731925 ; 13.647831
1.1766667 ; 0.0009167 ; 11.4590787 ; 13.483516
1.1533333 ; 0.0009136 ; 11.420375 ; 13.1714992
1.13 ; 0.0008426 ; 10.5319513 ; 11.9011049
1.1066667 ; 0.0007572 ; 9.4650987 ; 10.4747093
1.0833333 ; 0.0006862 ; 8.5773138 ; 9.2920899
1.06 ; 0.0005942 ; 7.426925 ; 7.8725405
1.0366667 ; 0.0005069 ; 6.3362988 ; 6.5686297
1.0133333 ; 0.0004066 ; 5.0830462 ; 5.1508202
0.99 ; 0.0003288 ; 4.10999 ; 4.0688901
0.9666667 ; 0.0002205 ; 2.7558963 ; 2.664033
0.9433333 ; 0.0001219 ; 1.5234037 ; 1.4370775
0.92 ; 2.29e-05 ; 0.2865578 ; 0.2636331
0.8966667 ; -8.87e-05 ; -1.1088285 ; -0.9942496
0.8733333 ; -0.0001877 ; -2.3460637 ; -2.0488957
0.85 ; -0.0002809 ; -3.5111075 ; -2.9844414
0.8266667 ; -0.0003765 ; -4.706445 ; -3.8906612
0.8033333 ; -0.000471 ; -5.8875162 ; -4.7296381
0.78 ; -0.0005633 ; -7.0413162 ; -5.4922267
0.7566667 ; -0.0006437 ; -8.04629 ; -6.0883594
0.7333333 ; -0.0007317 ; -9.1461663 ; -6.7071886
0.71 ; -0.0008057 ; -10.0708288 ; -7.1502884
0.6866667 ; -0.0008633 ; -10.7914625 ; -7.4101376
0.6633333 ; -0.0009168 ; -11.4598513 ; -7.6017013
0.64 ; -0.000951 ; -11.8878675 ; -7.6082352
0.6166667 ; -0.0010008 ; -12.51056 ; -7.7148453
0.5933333 ; -0.0010452 ; -13.064825 ; -7.7517962
0.57 ; -0.0010746 ; -13.4329875 ; -7.6568029
0.5466667 ; -0.0011134 ; -13.9180375 ; -7.6085272
0.5233333 ; -0.0011405 ; -14.2563625 ; -7.4608297
0.5 ; -0.0011692 ; -14.6155375 ; -7.3077687
0.4766667 ; -0.0011751 ; -14.6893375 ; -7.0019175
0.4533333 ; -0.0011926 ; -14.9077 ; -6.7581573
0.43 ; -0.0012114 ; -15.14205 ; -6.5110815
0.4066667 ; -0.0012375 ; -15.4684 ; -6.2904827
0.3833333 ; -0.0012461 ; -15.5759375 ; -5.970776
0.36 ; -0.0012615 ; -15.769175 ; -5.676903
0.3366667 ; -0.0012841 ; -16.0510125 ; -5.4038409
0.3133333 ; -0.0012636 ; -15.79445 ; -4.9489277
0.29 ; -0.0012735 ; -15.9186 ; -4.616394
0.2666667 ; -0.0012764 ; -15.95515 ; -4.2547067
0.2433333 ; -0.0012821 ; -16.0260375 ; -3.8996691
0.22 ; -0.0012868 ; -16.0847625 ; -3.5386477
0.1966667 ; -0.0013069 ; -16.3367 ; -3.2128843
0.1733333 ; -0.001319 ; -16.4881 ; -2.8579373
0.15 ; -0.0013376 ; -16.71985 ; -2.5079775
0.1266667 ; -0.0013381 ; -16.7257125 ; -2.1185902
0.1033333 ; -0.0013437 ; -16.7963125 ; -1.735619
0.08 ; -0.0013417 ; -16.7710375 ; -1.341683
0.0566667 ; -0.001351 ; -16.8872375 ; -0.9569435
0.0333333 ; -0.0013469 ; -16.836425 ; -0.5612142
0.01 ; -0.001358 ; -16.9743875 ; -0.1697439
-0.0133333 ; -0.0013568 ; -16.9600375 ; 0.2261338
-0.0366667 ; -0.0013598 ; -16.996975 ; 0.6232224
-0.06 ; -0.0013592 ; -16.9901125 ; 1.0194068
-0.0833333 ; -0.001362 ; -17.0253 ; 1.418775
-0.1066667 ; -0.0013677 ; -17.0964125 ; 1.8236173
-0.13 ; -0.0013716 ; -17.144375 ; 2.2287688
-0.1533333 ; -0.0013691 ; -17.1132875 ; 2.6240374
-0.1766667 ; -0.0013876 ; -17.344475 ; 3.0641906
-0.2 ; -0.0014081 ; -17.6011625 ; 3.5202325
