U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0016513 ; 23.5893571 ; 28.3072286
1.1766667 ; 0.0015443 ; 22.0619571 ; 25.9595696
1.1533333 ; 0.0013482 ; 19.2600571 ; 22.2132659
1.13 ; 0.0011821 ; 16.8876 ; 19.082988
1.1066667 ; 0.0010417 ; 14.8807286 ; 16.4680063
1.0833333 ; 0.0009201 ; 13.1436857 ; 14.2389929
1.06 ; 0.0008119 ; 11.5992686 ; 12.2952247
1.0366667 ; 0.0007168 ; 10.23979 ; 10.615249
1.0133333 ; 0.0006301 ; 9.00197 ; 9.1219963
0.99 ; 0.0005506 ; 7.8658286 ; 7.7871703
0.9666667 ; 0.0004781 ; 6.8305086 ; 6.602825
0.9433333 ; 0.0004104 ; 5.8625229 ; 5.5303132
0.92 ; 0.0003463 ; 4.9471357 ; 4.5513649
0.8966667 ; 0.0002855 ; 4.0780043 ; 3.6566105
0.8733333 ; 0.0002266 ; 3.23775 ; 2.827635
0.85 ; 0.00017 ; 2.42834 ; 2.064089
0.8266667 ; 0.0001142 ; 1.6307414 ; 1.3480796
0.8033333 ; 6.09e-05 ; 0.8697561 ; 0.6987041
0.78 ; 1.34e-05 ; 0.1912101 ; 0.1491439
0.7566667 ; -4.54e-05 ; -0.6482519 ; -0.4905106
0.7333333 ; -9.88e-05 ; -1.4114117 ; -1.0350353
0.71 ; -0.0001519 ; -2.1700371 ; -1.5407264
0.6866667 ; -0.0002054 ; -2.9344757 ; -2.0150067
0.6633333 ; -0.0002576 ; -3.6797643 ; -2.4409103
0.64 ; -0.00031 ; -4.4282457 ; -2.8340773
0.6166667 ; -0.000362 ; -5.17077 ; -3.1886415
0.5933333 ; -0.0004128 ; -5.8970114 ; -3.4988934
0.57 ; -0.0004594 ; -6.5626314 ; -3.7406999
0.5466667 ; -0.0005086 ; -7.2654729 ; -3.9717918
0.5233333 ; -0.0005521 ; -7.88665 ; -4.1273468
0.5 ; -0.0005931 ; -8.4734986 ; -4.2367493
0.4766667 ; -0.0006318 ; -9.0259386 ; -4.3023641
0.4533333 ; -0.0006659 ; -9.5132314 ; -4.3126649
0.43 ; -0.0006958 ; -9.9403929 ; -4.2743689
0.4066667 ; -0.0007293 ; -10.4186257 ; -4.2369078
0.3833333 ; -0.0007512 ; -10.7308043 ; -4.113475
0.36 ; -0.0007709 ; -11.0130757 ; -3.9647073
0.3366667 ; -0.0007885 ; -11.2643429 ; -3.7923288
0.3133333 ; -0.000804 ; -11.4863729 ; -3.5990635
0.29 ; -0.0008174 ; -11.6768629 ; -3.3862902
0.2666667 ; -0.0008259 ; -11.7980414 ; -3.1461444
0.2433333 ; -0.0008397 ; -11.99591 ; -2.9190048
0.22 ; -0.0008459 ; -12.0848 ; -2.658656
0.1966667 ; -0.000853 ; -12.1852786 ; -2.3964381
0.1733333 ; -0.0008595 ; -12.2788129 ; -2.1283276
0.15 ; -0.0008639 ; -12.3419714 ; -1.8512957
0.1266667 ; -0.000872 ; -12.4571771 ; -1.5779091
0.1033333 ; -0.0008751 ; -12.5009286 ; -1.2917626
0.08 ; -0.000878 ; -12.5432214 ; -1.0034577
0.0566667 ; -0.0008864 ; -12.6625029 ; -0.7175418
0.0333333 ; -0.0008897 ; -12.7093 ; -0.4236433
0.01 ; -0.0008962 ; -12.80258 ; -0.1280258
-0.0133333 ; -0.0008994 ; -12.8490686 ; 0.1713209
-0.0366667 ; -0.0009017 ; -12.8820371 ; 0.4723414
-0.06 ; -0.0009041 ; -12.9157771 ; 0.7749466
-0.0833333 ; -0.0009106 ; -13.0092429 ; 1.0841036
-0.1066667 ; -0.0009133 ; -13.0464357 ; 1.3916198
-0.13 ; -0.0009159 ; -13.0840186 ; 1.7009224
-0.1533333 ; -0.0009198 ; -13.14025 ; 2.0148383
-0.1766667 ; -0.0009186 ; -13.1225743 ; 2.3183215
-0.2 ; -0.0009225 ; -13.1790086 ; 2.6358017
