INCIDENT_KEY;OCCUR_DATE;OCCUR_TIME;BORO;PRECINCT;JURISDICTION_CODE;LOCATION_DESC;STATISTICAL_MURDER_FLAG;PERP_AGE_GROUP;PERP_SEX;PERP_RACE;VIC_AGE_GROUP;VIC_SEX;VIC_RACE;Latitude;Longitude
201575314;08/23/2019;22:10:00;QUEENS;103;0;;FALSE;;;;25-44;M;BLACK;40.697805308000056;-73.808140716999958
205748546;11/27/2019;15:54:00;BRONX;40;0;;FALSE;<18;M;BLACK;25-44;F;BLACK;40.818699730000048;-73.918570617999933
193118596;02/02/2019;19:40:00;MANHATTAN;23;0;;FALSE;18-24;M;WHITE HISPANIC;18-24;M;BLACK HISPANIC;40.791916091000076;-73.94547965999999
204192600;10/24/2019;00:52:00;STATEN ISLAND;121;0;PVT HOUSE;TRUE;25-44;M;BLACK;25-44;F;BLACK;40.638063982000062;-74.166108301999941
201483468;08/22/2019;18:03:00;BRONX;46;0;;FALSE;25-44;M;BLACK HISPANIC;18-24;M;BLACK;40.854547349000029;-73.913339443999973
198255460;06/07/2019;17:50:00;BROOKLYN;73;0;;FALSE;45-64;M;WHITE HISPANIC;25-44;M;BLACK;40.679827016000047;-73.908425238999939
194570529;03/11/2019;16:30:00;BROOKLYN;81;0;;FALSE;18-24;M;BLACK;25-44;M;BLACK;40.687565563000078;-73.938951975999942
203211777;10/03/2019;01:45:00;BROOKLYN;67;0;MULTI DWELL - APT BUILD;TRUE;;;;25-44;M;BLACK;40.644651706000047;-73.926206153999942
193694863;02/17/2019;03:00:00;QUEENS;114;2;MULTI DWELL - PUBLIC HOUS;FALSE;18-24;M;BLACK;25-44;M;BLACK;40.756275434000031;-73.945014328999946
199582060;07/10/2019;02:56:00;BROOKLYN;69;0;;FALSE;25-44;M;BLACK;25-44;M;BLACK;40.64929346200006;-73.897911867999937
197997726;06/03/2019;23:05:00;BRONX;46;0;MULTI DWELL - APT BUILD;FALSE;;;;18-24;M;WHITE HISPANIC;40.860655553000072;-73.895006203999969
204464564;11/04/2019;13:40:00;BRONX;40;0;;FALSE;45-64;M;BLACK;25-44;M;WHITE HISPANIC;40.820790453000029;-73.91375915499998
205908100;12/02/2019;11:50:00;BROOKLYN;67;0;;FALSE;25-44;F;BLACK;25-44;M;BLACK;40.643411912000033;-73.927540780999948
197953462;06/01/2019;14:14:00;QUEENS;101;0;;FALSE;18-24;M;BLACK;45-64;F;WHITE;40.603274007000039;-73.753104532999942
201436772;08/21/2019;23:34:00;STATEN ISLAND;120;0;GROCERY/BODEGA;FALSE;<18;M;WHITE HISPANIC;<18;M;WHITE HISPANIC;40.634411467000064;-74.118962298999975
196542452;04/27/2019;23:54:00;BROOKLYN;67;0;MULTI DWELL - APT BUILD;FALSE;;;;25-44;M;WHITE HISPANIC;40.65388611000003;-73.954497843999945
205748546;11/27/2019;15:54:00;BRONX;40;0;;FALSE;<18;M;BLACK;18-24;M;BLACK;40.818699730000048;-73.918570617999933
200056616;07/21/2019;02:00:00;BROOKLYN;75;0;;FALSE;;;;25-44;M;BLACK;40.654492401000027;-73.886533306999979
206875589;12/30/2019;03:17:00;BROOKLYN;81;0;;FALSE;;;;18-24;M;BLACK;40.686815165000041;-73.919369884999981
199403137;07/06/2019;00:03:00;BROOKLYN;67;0;MULTI DWELL - APT BUILD;FALSE;;;;<18;M;BLACK;40.652572760000055;-73.951219198999979
196276903;04/19/2019;00:12:00;QUEENS;113;0;;FALSE;25-44;M;BLACK;25-44;M;BLACK;40.689472652000063;-73.749799678999977
206821821;12/21/2019;04:30:00;BROOKLYN;78;1;;FALSE;;;;25-44;M;BLACK HISPANIC;40.678007577000074;-73.973055704999979
191709964;01/01/2019;04:26:00;BROOKLYN;75;2;MULTI DWELL - PUBLIC HOUS;TRUE;;;;25-44;M;BLACK;40.665674700000068;-73.866155502999959
203517393;10/09/2019;13:00:00;QUEENS;105;0;;TRUE;;;;18-24;M;ASIAN / PACIFIC ISLANDER;40.741748484000027;-73.70204752099994
200365038;07/28/2019;20:14:00;BRONX;46;0;MULTI DWELL - APT BUILD;FALSE;;;;18-24;M;WHITE HISPANIC;40.851438118000033;-73.917800376999935
201852654;08/31/2019;07:42:00;BRONX;45;0;GAS STATION;FALSE;18-24;M;BLACK HISPANIC;25-44;M;WHITE HISPANIC;40.842625153000029;-73.852058343999943
193418293;02/09/2019;19:00:00;BRONX;49;2;MULTI DWELL - PUBLIC HOUS;FALSE;;;;<18;M;BLACK;40.862681292000048;-73.865997629999981
199637606;07/11/2019;21:45:00;BRONX;46;0;;TRUE;18-24;M;UNKNOWN;25-44;M;WHITE HISPANIC;40.858373133000043;-73.899402083999973
198107751;06/05/2019;23:38:00;QUEENS;105;0;PVT HOUSE;FALSE;;;;65+;F;BLACK;40.676551919000076;-73.750587217999964
198858230;06/23/2019;12:02:00;BROOKLYN;61;0;;FALSE;18-24;M;BLACK;25-44;M;WHITE HISPANIC;40.594019059000061;-73.960854315999939
195102368;03/22/2019;22:25:00;BRONX;48;2;MULTI DWELL - PUBLIC HOUS;FALSE;;;;25-44;M;BLACK HISPANIC;40.842646326000079;-73.893682920999936
200209680;07/24/2019;13:20:00;BRONX;47;0;;FALSE;25-44;M;BLACK;25-44;M;WHITE;40.873244591000059;-73.841359606999958
200891279;08/08/2019;22:28:00;BROOKLYN;67;0;;FALSE;;;;25-44;M;BLACK;40.651206776000038;-73.94142502699998
203348698;10/05/2019;21:50:00;MANHATTAN;25;0;;TRUE;;;;25-44;M;WHITE HISPANIC;40.800334261000046;-73.945656971999938
193939359;02/24/2019;23:20:00;BRONX;44;2;MULTI DWELL - PUBLIC HOUS;FALSE;18-24;M;BLACK;25-44;M;BLACK;40.830211602000077;-73.911820941999963
201875868;09/02/2019;20:25:00;BRONX;48;0;;FALSE;25-44;M;BLACK;18-24;F;BLACK;40.854510990000051;-73.89291929999996
202804360;09/23/2019;19:50:00;BROOKLYN;81;0;;FALSE;;;;25-44;M;BLACK;40.679188252000074;-73.920540021999955
196000890;04/14/2019;03:03:00;BRONX;52;0;;FALSE;;;;25-44;M;BLACK HISPANIC;40.859381159000066;-73.906797049999966
197381376;05/19/2019;18:37:00;QUEENS;103;0;;FALSE;;;;25-44;M;BLACK;40.696592115000044;-73.783390714999939
197662446;05/26/2019;20:08:00;BROOKLYN;75;0;;FALSE;18-24;M;BLACK;25-44;M;BLACK;40.666493826000078;-73.887792539999964
203041423;09/27/2019;20:40:00;BROOKLYN;75;2;MULTI DWELL - PUBLIC HOUS;FALSE;;;;25-44;M;BLACK;40.667629873000067;-73.896254477999946
191851038;01/03/2019;23:00:00;STATEN ISLAND;121;0;;FALSE;;;;18-24;M;BLACK;40.624715270000024;-74.162814914999956
205280613;11/17/2019;14:45:00;MANHATTAN;23;2;MULTI DWELL - PUBLIC HOUS;FALSE;;;;<18;M;BLACK HISPANIC;40.797088584000051;-73.942748579999943
199247701;07/03/2019;00:04:00;QUEENS;114;2;MULTI DWELL - PUBLIC HOUS;FALSE;<18;M;WHITE;25-44;M;WHITE HISPANIC;40.755443005000075;-73.943423245999952
194085121;02/27/2019;18:22:00;MANHATTAN;34;2;MULTI DWELL - PUBLIC HOUS;FALSE;;;;25-44;M;WHITE HISPANIC;40.861820186000045;-73.924146733999976
196414299;04/24/2019;14:58:00;BROOKLYN;71;0;;FALSE;;;;25-44;M;BLACK;40.662321699000074;-73.938654283999938
198350536;06/11/2019;21:41:00;BROOKLYN;75;0;;FALSE;18-24;M;WHITE HISPANIC;18-24;M;BLACK;40.669050105000053;-73.870359115999975
