U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0011921 ; 14.9012 ; 17.88144
1.1766667 ; 0.0008843 ; 11.0532262 ; 13.0059629
1.1533333 ; 0.0006804 ; 8.5054112 ; 9.8095743
1.13 ; 0.0005 ; 6.25028 ; 7.0628164
1.1066667 ; 0.0003385 ; 4.2308987 ; 4.6821946
1.0833333 ; 0.0001989 ; 2.4865837 ; 2.6937991
1.06 ; 7.56e-05 ; 0.9452886 ; 1.0020059
1.0366667 ; -3.13e-05 ; -0.3914982 ; -0.4058532
1.0133333 ; -0.0001194 ; -1.4925188 ; -1.512419
0.99 ; -0.0001976 ; -2.4702462 ; -2.4455438
0.9666667 ; -0.0002582 ; -3.22762 ; -3.1200327
0.9433333 ; -0.000308 ; -3.8494512 ; -3.6313157
0.92 ; -0.000352 ; -4.3999025 ; -4.0479103
0.8966667 ; -0.0003886 ; -4.8577025 ; -4.3557399
0.8733333 ; -0.0004207 ; -5.2581838 ; -4.5921471
0.85 ; -0.0004512 ; -5.640395 ; -4.7943357
0.8266667 ; -0.0004766 ; -5.9576813 ; -4.9250165
0.8033333 ; -0.0004977 ; -6.2209775 ; -4.9975186
0.78 ; -0.0005176 ; -6.4703212 ; -5.0468506
0.7566667 ; -0.0005366 ; -6.707795 ; -5.0755649
0.7333333 ; -0.000551 ; -6.8878487 ; -5.0510891
0.71 ; -0.0005676 ; -7.095295 ; -5.0376594
0.6866667 ; -0.0005786 ; -7.2327912 ; -4.9665167
0.6633333 ; -0.0005923 ; -7.4043387 ; -4.9115447
0.64 ; -0.0006029 ; -7.535765 ; -4.8228896
0.6166667 ; -0.0006132 ; -7.6644625 ; -4.7264185
0.5933333 ; -0.0006238 ; -7.7971937 ; -4.626335
0.57 ; -0.0006326 ; -7.9071088 ; -4.507052
0.5466667 ; -0.0006412 ; -8.0151288 ; -4.3816037
0.5233333 ; -0.0006491 ; -8.1142225 ; -4.2464431
0.5 ; -0.0006547 ; -8.1840213 ; -4.0920106
0.4766667 ; -0.0006631 ; -8.2883813 ; -3.9507951
0.4533333 ; -0.0006679 ; -8.3483275 ; -3.7845751
0.43 ; -0.0006759 ; -8.4491925 ; -3.6331528
0.4066667 ; -0.0006829 ; -8.536865 ; -3.4716584
0.3833333 ; -0.0006889 ; -8.61116 ; -3.3009447
0.36 ; -0.000693 ; -8.6619513 ; -3.1183024
0.3366667 ; -0.0006973 ; -8.7167575 ; -2.9346417
0.3133333 ; -0.000702 ; -8.7752387 ; -2.7495748
0.29 ; -0.0007078 ; -8.847965 ; -2.5659098
0.2666667 ; -0.0007146 ; -8.9324613 ; -2.3819897
0.2433333 ; -0.0007151 ; -8.9389112 ; -2.1751351
0.22 ; -0.0007202 ; -9.0025137 ; -1.980553
0.1966667 ; -0.0007212 ; -9.0146713 ; -1.7728853
0.1733333 ; -0.0007291 ; -9.1136525 ; -1.5796998
0.15 ; -0.0007324 ; -9.1544038 ; -1.3731606
0.1266667 ; -0.0007362 ; -9.2018787 ; -1.1655713
0.1033333 ; -0.0007384 ; -9.2303375 ; -0.9538015
0.08 ; -0.0007401 ; -9.251265 ; -0.7401012
0.0566667 ; -0.000742 ; -9.2749937 ; -0.525583
0.0333333 ; -0.0007461 ; -9.3266075 ; -0.3108869
0.01 ; -0.0007484 ; -9.3552425 ; -0.0935524
-0.0133333 ; -0.0007528 ; -9.4106112 ; 0.1254748
-0.0366667 ; -0.0007537 ; -9.4215063 ; 0.3454552
-0.06 ; -0.0007575 ; -9.4691725 ; 0.5681504
-0.0833333 ; -0.0007595 ; -9.4935375 ; 0.7911281
-0.1066667 ; -0.0007618 ; -9.5230788 ; 1.0157951
-0.13 ; -0.0007642 ; -9.5530775 ; 1.2419001
-0.1533333 ; -0.0007669 ; -9.5864112 ; 1.4699164
-0.1766667 ; -0.0007691 ; -9.6139637 ; 1.6984669
-0.2 ; -0.0007662 ; -9.5779563 ; 1.9155913
