U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0009681 ; 12.1016812 ; 14.5220175
1.1766667 ; 0.0007875 ; 9.84417 ; 11.5833067
1.1533333 ; 0.0006318 ; 7.8970038 ; 9.1078777
1.13 ; 0.000492 ; 6.1498663 ; 6.9493489
1.1066667 ; 0.0003876 ; 4.8454038 ; 5.3622468
1.0833333 ; 0.0002833 ; 3.54078 ; 3.835845
1.06 ; 0.0001811 ; 2.2632662 ; 2.3990622
1.0366667 ; 9.19e-05 ; 1.1484139 ; 1.1905224
1.0133333 ; 3e-06 ; 0.0376997 ; 0.0382023
0.99 ; -9.04e-05 ; -1.1302017 ; -1.1188997
0.9666667 ; -0.0001776 ; -2.220345 ; -2.1463335
0.9433333 ; -0.000265 ; -3.312625 ; -3.1249096
0.92 ; -0.0003467 ; -4.3335125 ; -3.9868315
0.8966667 ; -0.0004258 ; -5.3226925 ; -4.7726809
0.8733333 ; -0.0004997 ; -6.2459537 ; -5.4547996
0.85 ; -0.0005732 ; -7.16451 ; -6.0898335
0.8266667 ; -0.0006416 ; -8.0205212 ; -6.6302976
0.8033333 ; -0.0007064 ; -8.8298575 ; -7.0933189
0.78 ; -0.000767 ; -9.5875 ; -7.47825
0.7566667 ; -0.000818 ; -10.2247012 ; -7.7366906
0.7333333 ; -0.0008635 ; -10.7934063 ; -7.9151646
0.71 ; -0.0009085 ; -11.35635 ; -8.0630085
0.6866667 ; -0.000945 ; -11.81251 ; -8.1112569
0.6633333 ; -0.0009814 ; -12.2674688 ; -8.1374209
0.64 ; -0.0010089 ; -12.6112125 ; -8.071176
0.6166667 ; -0.0010369 ; -12.9617 ; -7.9930483
0.5933333 ; -0.0010545 ; -13.1809 ; -7.8206673
0.57 ; -0.0010718 ; -13.3969375 ; -7.6362544
0.5466667 ; -0.0010876 ; -13.5946375 ; -7.4317352
0.5233333 ; -0.0010995 ; -13.74325 ; -7.1923008
0.5 ; -0.0011134 ; -13.917575 ; -6.9587875
0.4766667 ; -0.0011216 ; -14.01945 ; -6.6826045
0.4533333 ; -0.0011288 ; -14.1098375 ; -6.3964597
0.43 ; -0.0011395 ; -14.2436625 ; -6.1247749
0.4066667 ; -0.0011478 ; -14.3481125 ; -5.8348991
0.3833333 ; -0.0011531 ; -14.4135875 ; -5.5252085
0.36 ; -0.0011597 ; -14.496825 ; -5.218857
0.3366667 ; -0.0011666 ; -14.5826 ; -4.9094753
0.3133333 ; -0.0011717 ; -14.64655 ; -4.5892523
0.29 ; -0.0011694 ; -14.6179375 ; -4.2392019
0.2666667 ; -0.0011776 ; -14.720175 ; -3.92538
0.2433333 ; -0.0011843 ; -14.8039875 ; -3.6023036
0.22 ; -0.0011851 ; -14.8137375 ; -3.2590222
0.1966667 ; -0.0011891 ; -14.8642375 ; -2.9233
0.1733333 ; -0.0011925 ; -14.9058625 ; -2.5836828
0.15 ; -0.0011883 ; -14.8531625 ; -2.2279744
0.1266667 ; -0.0011968 ; -14.9603625 ; -1.8949792
0.1033333 ; -0.001201 ; -15.01285 ; -1.5513278
0.08 ; -0.0012047 ; -15.05825 ; -1.20466
0.0566667 ; -0.0012066 ; -15.0825 ; -0.854675
0.0333333 ; -0.0012105 ; -15.1313875 ; -0.5043796
0.01 ; -0.0012129 ; -15.1617625 ; -0.1516176
-0.0133333 ; -0.0012118 ; -15.147 ; 0.20196
-0.0366667 ; -0.0012153 ; -15.1913625 ; 0.5570166
-0.06 ; -0.0012148 ; -15.1847875 ; 0.9110873
-0.0833333 ; -0.0012159 ; -15.1982875 ; 1.266524
-0.1066667 ; -0.0012159 ; -15.1985875 ; 1.6211827
-0.13 ; -0.0012229 ; -15.286075 ; 1.9871898
-0.1533333 ; -0.0012216 ; -15.2699125 ; 2.3413866
-0.1766667 ; -0.0012247 ; -15.30855 ; 2.7045105
-0.2 ; -0.0012245 ; -15.306125 ; 3.061225
