U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0004723 ; 5.904225 ; 7.08507
1.1766667 ; 0.0003627 ; 4.5342363 ; 5.3352847
1.1533333 ; 0.0003036 ; 3.7945062 ; 4.3763305
1.13 ; 0.000247 ; 3.088035 ; 3.4894795
1.1066667 ; 0.0001926 ; 2.4076412 ; 2.6644563
1.0833333 ; 0.0001411 ; 1.7641837 ; 1.9111991
1.06 ; 9.15e-05 ; 1.1439829 ; 1.2126218
1.0366667 ; 4.28e-05 ; 0.5348892 ; 0.5545019
1.0133333 ; -4.4e-06 ; -0.0551672 ; -0.0559027
0.99 ; -5.5e-05 ; -0.687502 ; -0.680627
0.9666667 ; -0.000105 ; -1.3119188 ; -1.2681881
0.9433333 ; -0.0001571 ; -1.9632275 ; -1.8519779
0.92 ; -0.0002111 ; -2.6385412 ; -2.4274579
0.8966667 ; -0.0002662 ; -3.3270237 ; -2.9832313
0.8733333 ; -0.0003217 ; -4.0215475 ; -3.5121515
0.85 ; -0.0003776 ; -4.720575 ; -4.0124887
0.8266667 ; -0.0004334 ; -5.417745 ; -4.4786692
0.8033333 ; -0.0004862 ; -6.0769212 ; -4.8817934
0.78 ; -0.0005365 ; -6.7063325 ; -5.2309393
0.7566667 ; -0.0005867 ; -7.3337638 ; -5.5492146
0.7333333 ; -0.0006306 ; -7.8829412 ; -5.7808236
0.71 ; -0.0006718 ; -8.3978637 ; -5.9624833
0.6866667 ; -0.0007131 ; -8.9132062 ; -6.1204016
0.6633333 ; -0.0007396 ; -9.2444825 ; -6.1321734
0.64 ; -0.0007686 ; -9.608015 ; -6.1491296
0.6166667 ; -0.0007915 ; -9.89417 ; -6.1014048
0.5933333 ; -0.0008105 ; -10.1313425 ; -6.0112632
0.57 ; -0.0008284 ; -10.355175 ; -5.9024497
0.5466667 ; -0.0008428 ; -10.53517 ; -5.7592263
0.5233333 ; -0.0008542 ; -10.6779637 ; -5.5881344
0.5 ; -0.0008652 ; -10.8146788 ; -5.4073394
0.4766667 ; -0.0008728 ; -10.91016 ; -5.2005096
0.4533333 ; -0.0008738 ; -10.9224875 ; -4.9515277
0.43 ; -0.0008829 ; -11.0360638 ; -4.7455074
0.4066667 ; -0.0008875 ; -11.094335 ; -4.5116962
0.3833333 ; -0.0008928 ; -11.1597687 ; -4.2779114
0.36 ; -0.0008947 ; -11.1840037 ; -4.0262413
0.3366667 ; -0.0009024 ; -11.2803812 ; -3.7977284
0.3133333 ; -0.0009052 ; -11.3149775 ; -3.5453596
0.29 ; -0.000908 ; -11.3505762 ; -3.2916671
0.2666667 ; -0.0009118 ; -11.3974462 ; -3.039319
0.2433333 ; -0.0009179 ; -11.4739537 ; -2.7919954
0.22 ; -0.0009192 ; -11.4895825 ; -2.5277081
0.1966667 ; -0.0009228 ; -11.5345525 ; -2.268462
0.1733333 ; -0.0009221 ; -11.5268188 ; -1.9979819
0.15 ; -0.0009211 ; -11.5136687 ; -1.7270503
0.1266667 ; -0.0009269 ; -11.585955 ; -1.4675543
0.1033333 ; -0.0009305 ; -11.6318425 ; -1.2019571
0.08 ; -0.0009304 ; -11.6296175 ; -0.9303694
0.0566667 ; -0.0009333 ; -11.6661563 ; -0.6610822
0.0333333 ; -0.0009351 ; -11.6887487 ; -0.389625
0.01 ; -0.0009355 ; -11.6942337 ; -0.1169423
-0.0133333 ; -0.0009394 ; -11.7420663 ; 0.1565609
-0.0366667 ; -0.0009426 ; -11.7827375 ; 0.4320337
-0.06 ; -0.0009421 ; -11.7764 ; 0.706584
-0.0833333 ; -0.0009403 ; -11.7541988 ; 0.9795166
-0.1066667 ; -0.0009426 ; -11.7825625 ; 1.2568067
-0.13 ; -0.0009463 ; -11.8284338 ; 1.5376964
-0.1533333 ; -0.0009496 ; -11.8693862 ; 1.8199726
-0.1766667 ; -0.0009436 ; -11.79491 ; 2.0837674
-0.2 ; -0.0009535 ; -11.9183137 ; 2.3836628
