U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0006877 ; 9.8243814 ; 11.7892577
1.1766667 ; 0.0006257 ; 8.9385414 ; 10.5176837
1.1533333 ; 0.0005593 ; 7.9904743 ; 9.2156803
1.13 ; 0.0005014 ; 7.1625657 ; 8.0936993
1.1066667 ; 0.0004491 ; 6.4163743 ; 7.1007875
1.0833333 ; 0.0004014 ; 5.7349057 ; 6.2128145
1.06 ; 0.0003567 ; 5.09531 ; 5.4010286
1.0366667 ; 0.0003153 ; 4.5043243 ; 4.6694828
1.0133333 ; 0.0002756 ; 3.9375057 ; 3.9900058
0.99 ; 0.0002371 ; 3.3871971 ; 3.3533252
0.9666667 ; 0.0002004 ; 2.8632114 ; 2.767771
0.9433333 ; 0.000164 ; 2.3427471 ; 2.2099915
0.92 ; 0.000128 ; 1.8280786 ; 1.6818323
0.8966667 ; 9.23e-05 ; 1.3187377 ; 1.1824682
0.8733333 ; 5.58e-05 ; 0.7971419 ; 0.6961706
0.85 ; 1.96e-05 ; 0.2793383 ; 0.2374375
0.8266667 ; -1.75e-05 ; -0.2495957 ; -0.2063325
0.8033333 ; -5.47e-05 ; -0.7808081 ; -0.6272492
0.78 ; -9.13e-05 ; -1.3039256 ; -1.0170619
0.7566667 ; -0.0001288 ; -1.8394929 ; -1.3918829
0.7333333 ; -0.0001663 ; -2.3760057 ; -1.7424042
0.71 ; -0.0002044 ; -2.9200486 ; -2.0732345
0.6866667 ; -0.0002426 ; -3.4659057 ; -2.3799219
0.6633333 ; -0.0002806 ; -4.00925 ; -2.6594692
0.64 ; -0.0003186 ; -4.55161 ; -2.9130304
0.6166667 ; -0.0003549 ; -5.0702486 ; -3.1266533
0.5933333 ; -0.0003917 ; -5.5950857 ; -3.3197509
0.57 ; -0.0004279 ; -6.11238 ; -3.4840566
0.5466667 ; -0.0004617 ; -6.5963229 ; -3.6059898
0.5233333 ; -0.0004943 ; -7.0607543 ; -3.6951281
0.5 ; -0.0005269 ; -7.5266986 ; -3.7633493
0.4766667 ; -0.0005585 ; -7.97897 ; -3.803309
0.4533333 ; -0.0005889 ; -8.4134 ; -3.8140747
0.43 ; -0.0006167 ; -8.8100143 ; -3.7883061
0.4066667 ; -0.0006426 ; -9.1801343 ; -3.7332546
0.3833333 ; -0.0006662 ; -9.5171886 ; -3.6482556
0.36 ; -0.0006874 ; -9.8201443 ; -3.5352519
0.3366667 ; -0.000709 ; -10.1280071 ; -3.4097624
0.3133333 ; -0.0007296 ; -10.4230443 ; -3.2658872
0.29 ; -0.0007464 ; -10.6632586 ; -3.092345
0.2666667 ; -0.0007616 ; -10.8803057 ; -2.9014149
0.2433333 ; -0.0007746 ; -11.06632 ; -2.6928045
0.22 ; -0.0007873 ; -11.2478357 ; -2.4745239
0.1966667 ; -0.0007954 ; -11.3623157 ; -2.2345888
0.1733333 ; -0.0008105 ; -11.5780257 ; -2.0068578
0.15 ; -0.0008152 ; -11.6461771 ; -1.7469266
0.1266667 ; -0.0008242 ; -11.77451 ; -1.4914379
0.1033333 ; -0.0008312 ; -11.87457 ; -1.2270389
0.08 ; -0.0008372 ; -11.9603714 ; -0.9568297
0.0566667 ; -0.0008428 ; -12.0395371 ; -0.6822404
0.0333333 ; -0.0008495 ; -12.1356343 ; -0.4045211
0.01 ; -0.0008543 ; -12.2049614 ; -0.1220496
-0.0133333 ; -0.0008566 ; -12.2372829 ; 0.1631638
-0.0366667 ; -0.0008636 ; -12.3377957 ; 0.4523858
-0.06 ; -0.0008635 ; -12.3359629 ; 0.7401578
-0.0833333 ; -0.0008713 ; -12.4467214 ; 1.0372268
-0.1066667 ; -0.0008764 ; -12.5206814 ; 1.3355394
-0.13 ; -0.0008791 ; -12.5582014 ; 1.6325662
-0.1533333 ; -0.0008837 ; -12.6249929 ; 1.9358322
-0.1766667 ; -0.0008853 ; -12.6475986 ; 2.2344091
-0.2 ; -0.0008897 ; -12.7093114 ; 2.5418623
