U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0001953 ; 2.7896214 ; 3.3475457
1.1766667 ; 0.0001685 ; 2.4069429 ; 2.8321694
1.1533333 ; 0.0001545 ; 2.2072357 ; 2.5456785
1.13 ; 0.0001416 ; 2.0229886 ; 2.2859771
1.1066667 ; 0.0001375 ; 1.9643029 ; 2.1738285
1.0833333 ; 0.0001282 ; 1.83148 ; 1.9841033
1.06 ; 0.0001133 ; 1.6190629 ; 1.7162066
1.0366667 ; 9.66e-05 ; 1.3797767 ; 1.4303685
1.0133333 ; 7.81e-05 ; 1.1152001 ; 1.1300695
0.99 ; 5.67e-05 ; 0.8101357 ; 0.8020344
0.9666667 ; 3.34e-05 ; 0.4776857 ; 0.4617629
0.9433333 ; 1.08e-05 ; 0.1549071 ; 0.1461291
0.92 ; -1.98e-05 ; -0.2825023 ; -0.2599021
0.8966667 ; -5.32e-05 ; -0.7595496 ; -0.6810628
0.8733333 ; -8.77e-05 ; -1.2527516 ; -1.0940697
0.85 ; -0.0001282 ; -1.8309386 ; -1.5562978
0.8266667 ; -0.0001713 ; -2.4476843 ; -2.023419
0.8033333 ; -0.0002146 ; -3.06623 ; -2.4632048
0.78 ; -0.0002617 ; -3.7379643 ; -2.9156121
0.7566667 ; -0.0003109 ; -4.44141 ; -3.3606669
0.7333333 ; -0.0003595 ; -5.1361129 ; -3.7664828
0.71 ; -0.0004086 ; -5.8368671 ; -4.1441757
0.6866667 ; -0.0004547 ; -6.4964029 ; -4.4608633
0.6633333 ; -0.0005015 ; -7.16437 ; -4.7523654
0.64 ; -0.0005479 ; -7.8269971 ; -5.0092782
0.6166667 ; -0.0005921 ; -8.4585729 ; -5.2161199
0.5933333 ; -0.0006323 ; -9.0333414 ; -5.3597826
0.57 ; -0.0006701 ; -9.5731071 ; -5.4566711
0.5466667 ; -0.0007057 ; -10.08097 ; -5.5109303
0.5233333 ; -0.0007368 ; -10.5251514 ; -5.5081626
0.5 ; -0.0007637 ; -10.91003 ; -5.455015
0.4766667 ; -0.0007895 ; -11.2783114 ; -5.3759951
0.4533333 ; -0.0008092 ; -11.5595186 ; -5.2403151
0.43 ; -0.000825 ; -11.7850343 ; -5.0675647
0.4066667 ; -0.0008397 ; -11.9954214 ; -4.878138
0.3833333 ; -0.0008518 ; -12.16859 ; -4.6646262
0.36 ; -0.0008654 ; -12.3634129 ; -4.4508286
0.3366667 ; -0.0008736 ; -12.4798986 ; -4.2015659
0.3133333 ; -0.00088 ; -12.5712686 ; -3.9389975
0.29 ; -0.0008866 ; -12.6659729 ; -3.6731321
0.2666667 ; -0.0008919 ; -12.7409186 ; -3.3975783
0.2433333 ; -0.0008939 ; -12.7694743 ; -3.1072387
0.22 ; -0.0008992 ; -12.8450371 ; -2.8259082
0.1966667 ; -0.0009045 ; -12.9208257 ; -2.5410957
0.1733333 ; -0.0009103 ; -13.0039 ; -2.2540093
0.15 ; -0.0009129 ; -13.0415257 ; -1.9562289
0.1266667 ; -0.0009164 ; -13.0913214 ; -1.658234
0.1033333 ; -0.0009146 ; -13.06506 ; -1.3500562
0.08 ; -0.0009284 ; -13.2625714 ; -1.0610057
0.0566667 ; -0.0009258 ; -13.2253129 ; -0.7494344
0.0333333 ; -0.0009277 ; -13.2525114 ; -0.4417504
0.01 ; -0.0009307 ; -13.2960857 ; -0.1329609
-0.0133333 ; -0.0009326 ; -13.3233314 ; 0.1776444
-0.0366667 ; -0.0009365 ; -13.3781071 ; 0.4905306
-0.06 ; -0.0009382 ; -13.4027414 ; 0.8041645
-0.0833333 ; -0.0009388 ; -13.4119071 ; 1.1176589
-0.1066667 ; -0.0009444 ; -13.49208 ; 1.4391552
-0.13 ; -0.0009441 ; -13.4878114 ; 1.7534155
-0.1533333 ; -0.0009471 ; -13.52929 ; 2.0744911
-0.1766667 ; -0.0009504 ; -13.5775071 ; 2.3986929
-0.2 ; -0.0009505 ; -13.5779486 ; 2.7155897
