,Linkas,Adresas,Kaina,€/S,Aukštas,Plotas,Kambariai
0,https://www.aruodas.lt/butai-vilniuje-lazdyneliuose-zaibo-g-parduodamas-stilingai-ir-kokybiskai-irengtas-1-3375370/,"Lazdynėliai, Žaibo g.",155 000 €,3690€/m²,4/4,42,2
1,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-pavilnioniu-g-aprasymas-pasilaiciuose-strategiskai-1-3318183/,"Pašilaičiai, Pavilnionių g.",125 880 €,2977€/m²,4/4,42.28,2
2,https://www.aruodas.lt/butai-vilniuje-lazdyneliuose-zaibo-g-parduodamas-stilingai-ir-kokybiskai-irengtas-1-3389785/,"Lazdynėliai, Žaibo g.",166 000 €,3773€/m²,2/4,44,2
3,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-perkunkiemio-g-parduodamas-naujas-kambario-butas-naujos-1-3363463/,"Pašilaičiai, Perkūnkiemio g.",109 900 €,3283€/m²,7/12,33.48,1
4,https://www.aruodas.lt/butai-vilniuje-pilaiteje-pilkalnio-g-parduodamas-funkcionalus-ir-siuolaikiskas-1-3390391/,"Pilaitė, Pilkalnio g.",137 000 €,3703€/m²,4/4,37,2
5,https://www.aruodas.lt/butai-vilniuje-pilaiteje-tvankstos-g-parduodamas-kokybiskai-ir-jaukiai-irengtas-1-3390395/,"Pilaitė, Tvankstos g.",194 500 €,3536€/m²,1/4,55,3
6,https://www.aruodas.lt/butai-vilniuje-pilaiteje-karaliauciaus-g-parduodamas-funkcionalus-ir-pilnai-irengtas-1-3390393/,"Pilaitė, Karaliaučiaus g.",135 000 €,3462€/m²,4/9,39,2
7,https://www.aruodas.lt/butai-vilniuje-senamiestyje-sodu-g-parduodamas-erdvus-ir-funkcionalus-1-3383910/,"Senamiestis, Sodų g.",419 000 €,3248€/m²,3/4,129,5
8,https://www.aruodas.lt/butai-vilniuje-snipiskese-satrijos-g-naujas-etapas-butu-projekte-snipiskiu-1-3272638/,"Šnipiškės, Šatrijos g.",305 000 €,3415€/m²,2/5,89.3,4
9,https://www.aruodas.lt/butai-vilniuje-lazdyneliuose-zaibo-g-parduodamas-stilingai-ir-kokybiskai-irengtas-1-3367162/,"Lazdynėliai, Žaibo g.",150 000 €,3750€/m²,4/4,40,2
10,https://www.aruodas.lt/butai-vilniuje-senamiestyje-vingriu-g-dvieju-kambariu-modernaus-interjero-1-3390333/,"Senamiestis, Vingrių g.",295 000 €,5907€/m²,2/3,49.94,2
11,https://www.aruodas.lt/butai-vilniuje-uzupyje-filaretu-g-prestizinis-gyvenamuju-namu-projektas-uzupio-1-3372468/,"Užupis, Filaretų g.",185 864 €,5600€/m²,2/5,33.19,2
12,https://www.aruodas.lt/butai-vilniuje-naujininkuose-kaminkelio-g-naujos-statybos-kvartale-naujininkuose-1-3386040/,"Naujininkai, Kaminkelio g.",169 339 €,3118€/m²,2/6,54.31,2
13,https://www.aruodas.lt/butai-vilniuje-pilaiteje-karaliauciaus-g-parduodamas-naujai-irengtas-butas-pilaiteje-1-3390083/,"Pilaitė, Karaliaučiaus g.",149 000 €,3725€/m²,1/4,40,2
14,https://www.aruodas.lt/butai-vilniuje-karoliniskese-vytauto-vaitkaus-g-parduodamas-dizaineres-naujai-kokybiskai-1-3374030/,"Karoliniškės, Vytauto Vaitkaus g.",124 000 €,3576€/m²,5/9,34.68,2
15,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-grigalaukio-g-parduodamas-jaukus-kokybiskai-ir-stilingai-1-3390367/,"Pašilaičiai, Grigalaukio g.",199 000 €,3917€/m²,2/8,50.81,2
16,https://www.aruodas.lt/butai-vilniuje-pilaiteje-m-mazvydo-g-pilaiteje-parduodamas-kokybiskai-irengtas-1-3389951/,"Pilaitė, M. Mažvydo g.",145 000 €,2610€/m²,2/5,55.56,2
17,https://www.aruodas.lt/butai-vilniuje-lazdynuose-m-mironaites-g-auksciausiu-standartu-ultramodernus-k-1-3389259/,"Lazdynai, M. Mironaitės g.",333 200 €,4434€/m²,3/6,75.15,3
18,https://www.aruodas.lt/butai-vilniuje-zirmunuose-verkiu-g-parduodamas-naujas-sviesus-jaukus-dvieju-1-3364717/,"Žirmūnai, Verkių g.",135 000 €,4252€/m²,2/9,31.75,2
19,https://www.aruodas.lt/butai-vilniuje-siaures-miestelyje-zygio-g-be-tarpininku-sviesus-modernus-jaukus-1-3389135/,"Šiaurės miestelis, Žygio g.",140 000 €,2745€/m²,7/9,51,2
20,https://www.aruodas.lt/butai-vilniuje-lazdynuose-architektu-g-parduodamas-jaukus-pilnai-suremontuotas-1-3389079/,"Lazdynai, Architektų g.",172 000 €,2205€/m²,1/5,78,4
21,https://www.aruodas.lt/butai-vilniuje-snipiskese-linkmenu-g-be-tarpininku-baldai-pagal-ind-uzsakymu-1-3389027/,"Šnipiškės, Linkmenų g.",158 000 €,5643€/m²,4/6,28,1
22,https://www.aruodas.lt/butai-vilniuje-senamiestyje-gedimino-pr-parduodamas-isskirtinis-sviesus-ir-1-3388521/,"Senamiestis, Gedimino pr.",788 500 €,9500€/m²,6/6,83,3
23,https://www.aruodas.lt/butai-vilniuje-virsuliskese-virsilu-g-parduodamas-erdvus-pilnai-irengtas-kvm-1-3358849/,"Viršuliškės, Viršilų g.",194 000 €,2726€/m²,12/23,71.16,2
24,https://www.aruodas.lt/butai-vilniuje-baltupiuose-kalvariju-g-parduodamas-erdvus-kambariu-butas-1-3387933/,"Baltupiai, Kalvarijų g.",165 000 €,2905€/m²,7/12,56.8,2
25,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-j-basanaviciaus-g-parduodamas-autentiskas-ir-gerai-1-3387874/,"Naujamiestis, J. Basanavičiaus g.",355 000 €,4128€/m²,2/4,86,4
26,https://www.aruodas.lt/butai-vilniuje-pilaiteje-isruties-g-pilaites-mikrorajone-atokesneje-vietoje-nuo-1-3326661/,"Pilaitė, Įsruties g.",146 000 €,1989€/m²,4/9,73.42,4
27,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-zemynos-g-parduodamas-sviesus-triju-kambariu-butas-1-3387422/,"Pašilaičiai, Žemynos g.",138 000 €,2079€/m²,6/9,66.38,3
28,https://www.aruodas.lt/butai-vilniuje-senamiestyje-j-basanaviciaus-g-parduodamas-autentiskas-ir-isskirtinis-1-3387288/,"Senamiestis, J. Basanavičiaus g.",345 000 €,3920€/m²,3/4,88,3
29,https://www.aruodas.lt/butai-vilniuje-zveryne-studentu-g-parduodamas-puikiai-naujai-irengtas-ju-1-3387302/,"Žvėrynas, Studentų g.",163 000 €,4528€/m²,1/5,36,2
30,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-algirdo-g-pristatome-visiskai-nauja-ir-kokybiskai-1-3386900/,"Naujamiestis, Algirdo g.",167 000 €,3795€/m²,3/5,44,2
31,https://www.aruodas.lt/butai-vilniuje-snipiskese-satrijos-g-parduodamas-naujai-ir-stilingai-dizaineriu-1-3386752/,"Šnipiškės, Šatrijos g.",282 000 €,5222€/m²,5/6,54,2
32,https://www.aruodas.lt/butai-vilniuje-senamiestyje-gedimino-pr-parduodami-tik-ka-irengti-auksciausios-klases-1-3386686/,"Senamiestis, Gedimino pr.",354 000 €,9440€/m²,6/6,37.5,2
33,https://www.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-linksmoji-g-naujojoje-vilnioje-labai-ramioje-vietoje-1-3366224/,"Naujoji Vilnia, Linksmoji g.",175 000 €,1966€/m²,5/5,89,3
34,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-aludariu-g-parduodamas-naujai-irengtas-kambariu-butas-1-3385370/,"Naujamiestis, Aludarių g.",340 000 €,6634€/m²,2/5,51.25,2
