index|id|gamintojas|modelis|pagaminimo_data|rida|variklis|kuro_tipas|varantieji_ratai|pavaros|sedimos_vietos|euro_standartas|spalva|kebulas|durys|comment|ratlankiu_skersmuo|technine_iki|vairo_padetis|klimato_valdymas|pirma_salis|seller_location|seller_name|price|price_currency|co2_emisija|url|immobilizer|alarm|satellite_tracking_system|armoured|cd_player|mp3_player|additional_audio_equipment|cd_changer|aux_input|subwoofer|dvd_player|usb_input|hands_free_kit|apple_car_play_android_auto|light_alloy_rims|led_daytime_running_lights|led_headlights|xenon_lights|fog_lights|tow_hook|headlights_washers|roof_racks|automatic_folding_mirrors|set_of_winter_tyres|electric_mirrors|electric_boot_lid|automatic_headlamps|onboard_computer|electrically_adjustable_steering_wheel|rainfall_sensor|heated_mirrors|parking_sensors|keyless_entry_system|cruise_control|heated_windshield|start_stop_system|voice_commands|paddle_shifters|lcd_monitor|navigation_gps|sport_seats|tinted_windows|multifunctional_steering_wheel|heated_seats|leather_seats|sunroof|electric_seats|panoramic_roof|auxiliary_heating|ventilated_seats|electric_seats_with_memory|boot_cover|heated_steering_wheel|traction_control_system|esp|hill_start_assist_control|automated_parking|adaptive_cruise_control|blind_spot_detection|lane_departure_warning|night_vision_assist|road_sign_recognition|isofix_mounts|collision_prevention_assist|high_beam_assist|dynamic_cornering_lights|back_view_camera|front_view_camera|three_six_zero_degree_camera|spoilers|increased_engine_power|tuned_suspension|tuned_interior|prepared_for_motorsport|not_exploited_in_lithuania|imported_from_us|for_exchange|available_for_leasing|service_book|warranty|catalytic_converter|multiple_key_sets|double_wheels|folding_seats|insulated_glass|two_sliding_doors|personal_ventilation|personal_illumination
0|ID:22996628|BMW|M5|2005-12|253 000 km|4999 cm³, 507 AG (373kW)|Benzinas|Galiniai|Automatinė|5|Nenurodyta|Juoda|Sedanas|4/5|Automobiliui atlikti visi aptarnavimaiOrginalus išmetimas su visais katalizatoriaisAptrauktas plėvele, spalva Aubergine bronzeDetalesnė informacija telefonuKaina derinama|R20|2023-09|Kairėje|Oro kondicionierius|Lietuva|Nenurodyta|Nenurodyta|19 500|€|357 g/km|https://autoplius.lt/skelbimai/bmw-m5-5-0-l-sedanas-2005-benzinas-22996628.html|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
1|ID:23120069|Mitsubishi|Outlander|2006|195 405 km|2378 cm³, 160 AG (118kW)|Benzinas|Visi varantys (4х4)|Automatinė|5|Nenurodyta|Juoda|Visureigis|4/5|Auto tech bukle puiki,kebulas be rudžiu.Rida originali!!!!Авто техника в отличном состоянии, без ржавчины. Пробег в оригинале!!!!|R17|Nenurodyta|Kairėje|Nenurodyta|Nenurodyta|Nenurodyta|Nenurodyta|2 700|€|~ 233 g/km|https://autoplius.lt/skelbimai/mitsubishi-outlander-2-4-l-visureigis-2006-benzinas-23120069.html|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2|ID:23012308|Seat|Arona|2019-11|129 800 km|1598 cm³, 95 AG (70kW)|Dyzelinas|Priekiniai|Automatinė|5|Euro 6|Balta|Visureigis|4/5|Puikus miesto automobiliukas, jokiu defektu, priziurymas dilerio.Pirktas Lietuvoje naujas, parduotas mums padevėtas dilerio.Pirma registracija 2019 11 12Techniniai aptarnavimai matomi AUTOJUTA UABPaskutinis tech. aptarnavimas Data: 2022.10.11 / Rida, km 118824 / AUTOJUTA UABTechnikine praeita 2022 11 po tech aptarnavimo.Jei atsiranda defektas šalinama pas įgaliotą atstovą, visi darbai atlikti matomi.Naujos žieminės padangos + yra vasarinės.Privalumai tokie kaip distronikas, sildomos sedynes, elektriniai visi langai, veidrodeliai ir t.t.13 490  eur (PVM isskiriamas 11 150 + 21%PVM)|R17|2024-11|Kairėje|Oro kondicionierius|Lietuva|Nenurodyta|Nenurodyta|13 490|€|135 g/km|https://autoplius.lt/skelbimai/seat-arona-1-6-l-visureigis-2019-dyzelinas-23012308.html|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
3|ID:23051810|Skoda|Octavia Scout|2015-06|183 000 km|1798 cm³, 179 AG (132kW)|Benzinas|Visi varantys (4х4)|Automatinė|5|Euro 6|Balta|Universalas|4/5|Šiam benzininiam varikliui yra galima Stag firmos dujų įranga (30% benzino, 70% dujų ciklas).Naujas pirktas Lietuvoje, visada aptarnaujamas oficialioje Škoda atstovybėje. Automobilis vieno šeimininko.Vasarinių (matosi paskutinėje iš nuotraukų) ir žieminių ratų komplektai su naujomis padangomis. Padangų dydis – 225/50 17.Papildoma įranga:Bi-ksenoniniai žibintai su AFS + LED dienos šviesos. Autonominis šildytuvas su nuotoliniu valdymu (pastaba: reikia paremontuoti siurblį). SOUND SYSTEM CANTON (10 garsiakalbių, skaitmeninis ekvalaizeris, žemų dažnių garsiakalbis). Navigacinė – informacinė sistema COLUMBUS, 8“ spalvinis jutiklinis ekranas. Skambinimo įranga su Bluetooth, su valdymu balsu. USB jungtis suderinama su Apple įrenginiais. Elektra valdoma vairuotojo sėdynė su atmintimi. Šildomos priekinės ir galinės sėdynės. „metallic“ spalva. Galinės šoninės saugos oro pagalvės. SUNSET – labiau tamsinti galiniai langai. Vilktis priekabai (lengvai išmontuojama, 13 kontaktų jungtis). Apsaugos sistema su vidaus monitoringu, autonomine sirena, posvyrio jutikliu. FRONT ASSISTANT – radaras, skenuojantis erdvę automobilio priekyje, automatinis stabdymas. AC ~230 V lizdas.Daug kitos įrangos.Su rimtu pirkėju kainą galima derinti.|R17|2024-07|Kairėje|Klimato kontrolė|Lietuva|Nenurodyta|Nenurodyta|14 650|€|Nenurodyta|https://autoplius.lt/skelbimai/skoda-octavia-scout-1-8-l-universalas-2015-benzinas-23051810.html|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
4|ID:23117259|Volvo|XC90|2018-08|127 896 km|1969 cm³, 235 AG (173kW)|Dyzelinas|Visi varantys (4х4)|Automatinė|7|Euro 6|Žalia / chaki|Visureigis|4/5|VOLVO D5 INSCRIPTION, 4X4 AWDPirktas naujas 2018-08 ir priziuretas Lietuvoje, Sostenos servisuose, pilna serviso istorija7 sedimos vietosPaskutinis aptarnavimas darytas pries 2 savaitesWEBASTO PASILDYMO SISTEMA VALDOMA PER PROGRAMELEVOLVO ON CALL - telemetrijos sistema su nuotoliniu automobilio sistemu valdymu is telefono (Apple iOS, Android, Windows).Papildomas vasariniu padangu komplektas•	Nappa odinis interjeras, Comfort tipo sedynes•	Elektroninė 4 zonų klimato kontrolė + šaldomas pirštinių skyrelis•	Šildoma galinė sėdynė•	Šildomas vairas•	Šildomas priekinis stiklas•	Apple CarPlay jungtis 2xUSB•	Gamyklinė Volvo Guard signalizacija su automine sirena ir imobilizatoriumi•	Automatiškai tamsėjantys išoriniai galinio vaizdo veidrodėliai•	Navigacinė sistema su Europos žemėlapiais (atnaujinamais paties vartotojo•	Objektų, esančių aklojoje veidrodžių zonoje, stebėjimo ir informavimo sistema BLIS b) Atbulinės eigos radaras su statmenai judančio transporto perspėjimu Cross Trafic Alert c) Radaras,saugantis nuo susidūrimų su iš paskos važiuojančiomis transp. priemonėmis•	Pilnai LED priekiniai žibintai. Adaptyvūs, apšviečiantys posūkius, su intelektualia, priešpriešinių vairuotojų  neakinančia tolimųjų šviesų sistema•	Priekinio ir galinio parkavimosi pagalbos sistema•	Tamsinti galiniai stiklai•	Galinio parkavimosi kamera•	Beraktė automobilio atrakinimo/užrakinimo sistema (su chromuotomis rankenėlėmis)•	Priekiniu sedyniu sedimosios dalies prailginimas•	Elektra valdoma vairuotojo sedyne su triju poziciju atmintimi•	Elektra valdoma keleivio sedyne su triju poziciju atmintimi•	4 krypciu elektra valdomas juosmens srities atramu reguliavimas priekinems sedynems•	Oda aptraukta priekine panele su priekiniu ir galiniu duru virsumi•	Galiniu langu uzuolaideles nuo saules•	Pasirenkami 5 vaziavimo rezimai pavaru dezei, vairui, stabdziams ir akceleracijai (su adaptyvia vaziuokle - ir pakabai)•	Specialus isplestinis LED vidaus apsvietimas su spalvos keitimo galimybe•	Apsvieciami metaliniai vidiniai slenksciai su VOLVO uzrasais•	Inscription stiliaus odinis raktas aptrauktas sedyniu spalvos oda•	Linear Walnut matinio medzio intarpai salone•	Inscription stiliaus priekines groteles•	Chromo juostos ant sonu su Inscription uzrasais•	lsilginiai stogo bagafo laikikliai (relingai), sidabriniai integruoti|R20|2023-08|Kairėje|Klimato kontrolė|Lietuva|Nenurodyta|Nenurodyta|38 000|€|149 g/km|https://autoplius.lt/skelbimai/volvo-xc90-2-0-l-visureigis-2018-dyzelinas-23117259.html|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
5|ID:23116585|Audi|80|1987-07|194 000 km|1760 cm³, 88 AG (65kW)|Benzinas|Nenurodyta|Mechaninė|5|Nenurodyta|Nenurodyta|Sedanas|4/5|Kaina tikrai verta automobilio.Parduodamas labai geros bukles automobilis. Vienas savininkas, Lietuvoje jau 20 metų, 2003m atvaryta iš Vokietijos.Visos automobilio dalys originalios.Pagal reikalavimus tinkantis į “istorinė” auto kategorija.2022 metais pravažiuota vos 200 km, stovi garaže.Jokių pašalinių garsu bei defektų, automobilis pilnai funkcianuojantis.|Nenurodyta|2023-05|Kairėje|Nenurodyta|Nenurodyta|Nenurodyta|Nenurodyta|1 200|€|172 g/km|https://autoplius.lt/skelbimai/audi-80-1-8-l-sedanas-1987-benzinas-23116585.html|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
6|ID:23118421|Dacia|Lodgy|2013-03|102 122 km|1461 cm³, 107 AG (79kW)|Dyzelinas|Priekiniai|Mechaninė|5|Nenurodyta|Nenurodyta|Vienatūris|4/5|Skubiai parduodama vieno šeimininko Dacia Lodgy pirkta Vilniuje iš salono, važinėta pagrinde tik LT, buvo išvažiavusi atostogų iki PL, ir HR, rida tikra.Tinka apdailininkams, statybininkams, baldų ir buitinės technikos pervežimams.Turėjusi tik vieną įvykį, tačiau suremontuota ir sutvarkyta autorizuotame servise.Galimos derybos.|R13|2024-03|Kairėje|Oro kondicionierius|Lietuva|Nenurodyta|Nenurodyta|8 000|€|109 g/km|https://autoplius.lt/skelbimai/dacia-lodgy-1-5-l-vienaturis-2013-dyzelinas-23118421.html|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
7|ID:21260655|Skoda|Octavia|2017-11|227 937 km|1600 cm³, 116 AG (85kW)|Dyzelinas|Priekiniai|Automatinė|5|Nenurodyta|Pilka / sidabrinė|Universalas|4/5|"www.longo.lt | Nr. 1 naudotų automobilių pardavėjas Baltijos šalyse.Daugiau nei 1000 naudotų automobilių Jūsų pasirinkimui su garantija ir tikra rida.Kiekvieną dieną atraskite naujus automobilių skelbimus rasite mūsų puslapyje.Daugiau nei 10 000 Klientų jau išsirinko automobilį iš Longo LT!Visi parduodami automobiliai:- Registruoti su valstybiniais numeriais – Jums nereikės vykti į Regitrą;- Su galiojančia technine apžiūra – Jums nereikės vykti į techninių apžiūrų stotį;- Su draudimu – pirmąjam mėnesiui automobilį apdrausime Mes;- Visiems automobiliams suteikiama reali garantija. Nieko nelaukite ir susisiekite su mumis!Bet kurį pasirinktą automobilį galite apžiūrėti ir įsigyti Vilniuje, Parodų g. 2 arba Panevėžyje, RYO prekybos centre!Longo LT siūlo Jums įsigyti naudotus automobilius iš vakarų Europos.Automobilius importuojame iš Olandijos, Belgijos ir Vokietijos. Kiekvienas automobilis yra profesionaliai atrenkamas ir apžiūrimas gyvai mūsų darbuotojų užsienyje. Tokiu būdu Jums siūlome patikimus automobilius.Esame tarptautinė įmonė ir vadovaujames sąžiningumo principu, aukštus kokybės reikalavimus keliame ne tik automobiliams, bet ir savo darbuotojams. Mūsų tikslas yra Jums pasiūlyti kokybišką prekę ir už Ją atsakyti, todėl savo parduodamiems automobiliams mes suteikiame garantiją.Mūsų siūlomus automobilius galite tikrinti bet kuriame pasirinktame servise, o atsiskaityti už juos galite pavedimu arba išsimokėtinai be pradinio įnašo.Kviečiame aplankyti mūsų puslapį www.longo.lt ir išsirinkti savo svajonių automobilį!"|Nenurodyta|2024-11|Kairėje|Klimato kontrolė|Olandija|Nenurodyta|Nenurodyta|11 990|€|103 g/km|https://autoplius.lt/skelbimai/skoda-octavia-1-6-l-universalas-2017-dyzelinas-21260655.html|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
8|ID:22167198|BMW|320|2017-07|158 486 km|2000 cm³, 163 AG (120kW)|Dyzelinas|Galiniai|Automatinė|5|Nenurodyta|Pilka / sidabrinė|Universalas|4/5|"www.longo.lt | Nr. 1 naudotų automobilių pardavėjas Baltijos šalyse.Daugiau nei 1000 naudotų automobilių Jūsų pasirinkimui su garantija ir tikra rida.Kiekvieną dieną atraskite naujus automobilių skelbimus rasite mūsų puslapyje.Daugiau nei 10 000 Klientų jau išsirinko automobilį iš Longo LT!Visi parduodami automobiliai:- Registruoti su valstybiniais numeriais – Jums nereikės vykti į Regitrą;- Su galiojančia technine apžiūra – Jums nereikės vykti į techninių apžiūrų stotį;- Su draudimu – pirmąjam mėnesiui automobilį apdrausime Mes;- Visiems automobiliams suteikiama reali garantija. Nieko nelaukite ir susisiekite su mumis!Bet kurį pasirinktą automobilį galite apžiūrėti ir įsigyti Vilniuje, Parodų g. 2 arba Panevėžyje, RYO prekybos centre!Longo LT siūlo Jums įsigyti naudotus automobilius iš vakarų Europos.Automobilius importuojame iš Olandijos, Belgijos ir Vokietijos. Kiekvienas automobilis yra profesionaliai atrenkamas ir apžiūrimas gyvai mūsų darbuotojų užsienyje. Tokiu būdu Jums siūlome patikimus automobilius.Esame tarptautinė įmonė ir vadovaujames sąžiningumo principu, aukštus kokybės reikalavimus keliame ne tik automobiliams, bet ir savo darbuotojams. Mūsų tikslas yra Jums pasiūlyti kokybišką prekę ir už Ją atsakyti, todėl savo parduodamiems automobiliams mes suteikiame garantiją.Mūsų siūlomus automobilius galite tikrinti bet kuriame pasirinktame servise, o atsiskaityti už juos galite pavedimu arba išsimokėtinai be pradinio įnašo.Kviečiame aplankyti mūsų puslapį www.longo.lt ir išsirinkti savo svajonių automobilį!"|Nenurodyta|2024-11|Kairėje|Klimato kontrolė|Olandija|Nenurodyta|Nenurodyta|16 190|€|104 g/km|https://autoplius.lt/skelbimai/bmw-320-2-0-l-universalas-2017-dyzelinas-22167198.html|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
9|ID:20581824|Volkswagen|Passat|2019-01|150 869 km|1600 cm³, 120 AG (88kW)|Dyzelinas|Priekiniai|Automatinė|5|Nenurodyta|Pilka / sidabrinė|Universalas|4/5|"www.longo.lt | Nr. 1 naudotų automobilių pardavėjas Baltijos šalyse.Daugiau nei 1000 naudotų automobilių Jūsų pasirinkimui su garantija ir tikra rida.Kiekvieną dieną atraskite naujus automobilių skelbimus rasite mūsų puslapyje.Daugiau nei 10 000 Klientų jau išsirinko automobilį iš Longo LT!Visi parduodami automobiliai:- Registruoti su valstybiniais numeriais – Jums nereikės vykti į Regitrą;- Su galiojančia technine apžiūra – Jums nereikės vykti į techninių apžiūrų stotį;- Su draudimu – pirmąjam mėnesiui automobilį apdrausime Mes;- Visiems automobiliams suteikiama reali garantija. Nieko nelaukite ir susisiekite su mumis!Bet kurį pasirinktą automobilį galite apžiūrėti ir įsigyti Vilniuje, Parodų g. 2 arba Panevėžyje, RYO prekybos centre!Longo LT siūlo Jums įsigyti naudotus automobilius iš vakarų Europos.Automobilius importuojame iš Olandijos, Belgijos ir Vokietijos. Kiekvienas automobilis yra profesionaliai atrenkamas ir apžiūrimas gyvai mūsų darbuotojų užsienyje. Tokiu būdu Jums siūlome patikimus automobilius.Esame tarptautinė įmonė ir vadovaujames sąžiningumo principu, aukštus kokybės reikalavimus keliame ne tik automobiliams, bet ir savo darbuotojams. Mūsų tikslas yra Jums pasiūlyti kokybišką prekę ir už Ją atsakyti, todėl savo parduodamiems automobiliams mes suteikiame garantiją.Mūsų siūlomus automobilius galite tikrinti bet kuriame pasirinktame servise, o atsiskaityti už juos galite pavedimu arba išsimokėtinai be pradinio įnašo.Kviečiame aplankyti mūsų puslapį www.longo.lt ir išsirinkti savo svajonių automobilį!"|Nenurodyta|2023-01|Kairėje|Klimato kontrolė|Olandija|Nenurodyta|Nenurodyta|16 490|€|103 g/km|https://autoplius.lt/skelbimai/volkswagen-passat-1-6-l-universalas-2019-dyzelinas-20581824.html|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
