4;0.713;2.8518
16;0.6224;9.9583
46;0.3939;18.1212
42;0.5998;25.1933
58;;0.3515
78;0.4532;35.3515
75;0.5477;41.0772
;0.8172;22.0651
19;;2.2309
87;0.7875;
35;0.6445;22.5563
52;0.1531;7.9633
84;;41.0798
96;0.7291;69.9962
;0.761;13.6975
15;0.6258;9.3872
89;;52.9749
93;0.5002;46.5221
73;0.9901;
51;0.7604;38.7808
88;;21.4128
;0.8574;45.441
57;0.6544;37.3012
99;0.9076;89.8541
69;;18.0689
13;0.5624;7.3115
64;0.7403;47.3788
87;0.8174;
;;3.4749
28;0.9501;26.6039
50;0.4391;21.9532
33;0.3701;12.2142
27;;21.6251
7;0.4202;2.9413
79;0.2596;20.5076
;0.4158;4.1576
87;;
52;0.3227;16.7829
45;0.2808;12.6345
93;0.9078;84.4235
64;;55.7541
41;0.3553;14.5662
;0.0195;1.5019
97;0.018;1.745
55;;23.6345
11;0.5858;
6;0.4821;2.8924
65;0.049;3.1844
32;;29.8747
;0.5563;13.351
72;0.873;62.8572
26;0.767;19.9414
66;;60.1846
71;0.2768;19.6547
93;0.4869;
31;0.1697;5.2606
;;6.2391
33;0.6077;20.0537
33;0.8716;28.7617
36;0.4366;15.7181
84;;54.2416
90;0.884;79.558
80;0.2172;17.3723
;0.0309;
16;;7.7945
51;0.3273;16.6932
89;0.5402;48.076
1;0.5331;0.5331
0;;0.0
45;0.9905;44.5715
;0.9571;92.8421
26;0.8252;21.454
16;;
67;0.4671;31.2955
37;0.0775;2.8663
87;0.8587;74.7067
61;;55.6244
;0.0206;0.6379
80;0.9214;73.712
52;0.8551;44.4653
15;;1.0126
79;0.8787;
26;0.3102;8.0644
26;0.3634;9.4496
;;31.7665
12;0.4627;5.5524
80;0.6738;53.9037
43;0.889;38.2262
19;;10.7911
65;0.9467;61.5352
64;0.8764;
;0.5271;5.2708
67;;27.8133
86;0.1507;12.9572
64;0.3943;25.2373
48;0.5356;25.7102
93;;46.9446
38;0.1545;5.8721
;0.6926;24.9321
22;0.8987;
