Name,Constitutional form,Head of state,Basis of executive legitimacy
Afghanistan,Republic,Executive,Presidency is independent of legislature
Albania,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Algeria,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Andorra,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Angola,Republic,Executive,Presidency is independent of legislature
Antigua and Barbuda,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Argentina,Republic,Executive,Presidency is independent of legislature
Armenia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Australia,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Austria,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Azerbaijan,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
"Bahamas, The",Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Bahrain,Constitutionalmonarchy,Executive,Monarch personally exercises power in concert with other institutions
Bangladesh,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Barbados,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Belarus,Republic,Executive,Presidency is independent of legislature
Belgium,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Belize,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Benin,Republic,Executive,Presidency is independent of legislature
Bhutan,Constitutionalmonarchy,Executive,Monarch personally exercises power in concert with other institutions
Bolivia,Republic,Executive,Presidency is independent of legislature
Bosnia and Herzegovina,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Botswana,Republic,Executive,"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence"
Brazil,Republic,Executive,Presidency is independent of legislature
Brunei,Absolute monarchy,Executive,All authority vested in absolute monarch
Bulgaria,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Burkina Faso,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Burundi,Republic,Executive,Presidency is independent of legislature
Cambodia,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Cameroon,Republic,Executive,Presidency is independent of legislature
Canada,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
