ESRI_OID,workplace_code,workplace_name,activity_evrk2,municipality,county,employees,immunised_percent,percentile_1,percentile_2,as_of_date
1,110004884,"Uždaroji akcinė bendrovė ""VILLON""",551000,Vilniaus r. sav.,Vilniaus apskr.,170,90-100%,92,94,2022-03-20
2,110005648,"UAB ""Informacinės paslaugos""",620100,Vilniaus m. sav.,Vilniaus apskr.,25,90-100%,69,71,2022-03-20
3,110011925,"UAB ""Eltel Networks""",422200,Vilniaus m. sav.,Vilniaus apskr.,230,90-100%,65,67,2022-03-20
4,110012112,UAB IDW,329900,Vilniaus m. sav.,Vilniaus apskr.,175,90-100%,45,47,2022-03-20
5,110012450,"AB ""Grigeo""",172200,Vilniaus m. sav.,Vilniaus apskr.,270,90-100%,89,91,2022-03-20
6,110015560,"Uždaroji akcinė bendrovė ""INTA""",639900,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
7,110018147,"UAB ""RASO""",466900,Vilniaus m. sav.,Vilniaus apskr.,30,90-100%,100,100,2022-03-20
8,110019434,"UŽDAROJI AKCINĖ BENDROVĖ ""TRANSLITAS""",494100,Šiaulių m. sav.,Šiaulių apskr.,10,90-100%,40,42,2022-03-20
9,110022220,"UAB ""KOMEX""",222200,Panevėžio m. sav.,Panevėžio apskr.,75,90-100%,91,93,2022-03-20
10,110027534,"UAB ""Transfriga""",494100,Elektrėnų sav.,Vilniaus apskr.,60,40-49%,7,8,2022-03-20
11,110032524,"Uždaroji akcinė bendrovė ""SEIFUVA""",259900,Utenos r. sav.,Utenos apskr.,110,90-100%,100,100,2022-03-20
12,110042632,"UAB ""Konica Minolta Baltia""",466600,Vilniaus m. sav.,Vilniaus apskr.,50,90-100%,100,100,2022-03-20
13,110051115,"Bendra Lietuvos-Rusijos-Olandijos įmonė uždaroji akcinė bendrovė ""TEV""",581100,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
14,110051791,Kultūros infrastruktūros centras,711100,Vilniaus m. sav.,Vilniaus apskr.,40,90-100%,100,100,2022-03-20
15,110051834,"Akcinė bendrovė ""Lietuvos draudimas""",651200,Vilniaus m. sav.,Vilniaus apskr.,965,90-100%,78,81,2022-03-20
16,110052936,"UAB ""LIETUVOS MONETŲ KALYKLA""",321100,Vilniaus m. sav.,Vilniaus apskr.,50,90-100%,100,100,2022-03-20
17,110053842,"Akcinė bendrovė ""Lietuvos geležinkeliai""",492000,Vilniaus m. sav.,Vilniaus apskr.,1125,90-100%,58,60,2022-03-20
18,110054563,Kooperatinė bendrovė Lietuvos kooperatyvų sąjunga,682000,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
19,110057335,Viešoji įstaiga Lietuvos žemės ūkio konsultavimo tarnyba,749000,Kėdainių r. sav.,Kauno apskr.,405,90-100%,73,76,2022-03-20
