Entity,Code,Year,Life expectancy
Afghanistan,AFG,1955,29.854
Africa,,1955,38.783
Albania,ALB,1955,57.007
Algeria,DZA,1955,43.916
American Samoa,ASM,1955,64.985
Americas,,1955,60.95963613
Andorra,AND,1955,66.111
Angola,AGO,1955,36.315
Anguilla,AIA,1955,57.476
Antigua and Barbuda,ATG,1955,58.946
Argentina,ARG,1955,63.773
Armenia,ARM,1955,63.865
Aruba,ABW,1955,62.687
Asia,,1955,43.543
Australia,AUS,1955,69.998
Austria,AUT,1955,67.244
Azerbaijan,AZE,1955,59.546
Bahamas,BHS,1955,63.75
Bahrain,BHR,1955,45.517
Bangladesh,BGD,1955,42.304
Barbados,BRB,1955,59.296
Belarus,BLR,1955,63.96
Belgium,BEL,1955,68.759
Belize,BLZ,1955,57.289
Benin,BEN,1955,34.949
Bermuda,BMU,1955,66.871
Bhutan,BTN,1955,33
Bolivia,BOL,1955,40.303
Bonaire Sint Eustatius and Saba,BES,1955,62.917
Bosnia and Herzegovina,BIH,1955,56.278
Botswana,BWA,1955,46.414
Brazil,BRA,1955,51.841
British Virgin Islands,VGB,1955,60.501
Brunei,BRN,1955,51.137
Bulgaria,BGR,1955,64.682
Burkina Faso,BFA,1955,32.127
Burundi,BDI,1955,39.778
Cambodia,KHM,1955,40.776
Cameroon,CMR,1955,39.525
Canada,CAN,1955,69.721
Cape Verde,CPV,1955,47.952
Cayman Islands,CYM,1955,58.426
Central African Republic,CAF,1955,33.938
Chad,TCD,1955,36.699
Channel Islands,OWID_CIS,1955,69.974
Chile,CHL,1955,55.413
China,CHN,1955,44.356
Colombia,COL,1955,53.963
Comoros,COM,1955,39.548
Congo,COG,1955,42.302
Cook Islands,COK,1955,51.954
Costa Rica,CRI,1955,57.293
Cote d'Ivoire,CIV,1955,31.932
Croatia,HRV,1955,62.499
Cuba,CUB,1955,60.87
Curacao,CUW,1955,62.748
Cyprus,CYP,1955,67.786
Czechia,CZE,1955,68.531
Democratic Republic of Congo,COD,1955,39.869
Denmark,DNK,1955,71.675
Djibouti,DJI,1955,41.934
Dominica,DMA,1955,56.657
Dominican Republic,DOM,1955,47.926
Ecuador,ECU,1955,50.059
Egypt,EGY,1955,44.095
El Salvador,SLV,1955,46.377
Equatorial Guinea,GNQ,1955,34.826
Eritrea,ERI,1955,35.234
Estonia,EST,1955,64.797
Eswatini,SWZ,1955,41.511
Ethiopia,ETH,1955,35.238
Europe,,1955,65.625
Faeroe Islands,FRO,1955,69.572
Falkland Islands,FLK,1955,69.9
Fiji,FJI,1955,57.872
Finland,FIN,1955,67.442
France,FRA,1955,68.45
French Guiana,GUF,1955,54.665
French Polynesia,PYF,1955,52.495
Gabon,GAB,1955,38.053
Gambia,GMB,1955,30.912
Georgia,GEO,1955,61.649
Germany,DEU,1955,68.265
Ghana,GHA,1955,43.458
Gibraltar,GIB,1955,70.357
Greece,GRC,1955,66.339
Greenland,GRL,1955,53.366
Grenada,GRD,1955,59.871
Guadeloupe,GLP,1955,55.351
Guam,GUM,1955,58.397
Guatemala,GTM,1955,44.191
Guinea,GIN,1955,33.73
Guinea-Bissau,GNB,1955,36.219
Guyana,GUY,1955,59.333
Haiti,HTI,1955,39.214
Honduras,HND,1955,43.083
Hong Kong,HKG,1955,64.48
Hungary,HUN,1955,65.619
Iceland,ISL,1955,72.837
India,IND,1955,38.448
Indonesia,IDN,1955,43.452
Iran,IRN,1955,42.047
Iraq,IRQ,1955,41.599
Ireland,IRL,1955,68.214
Isle of Man,IMN,1955,70.104
Israel,ISR,1955,69.493
Italy,ITA,1955,67.59
Jamaica,JAM,1955,61.945
Japan,JPN,1955,64.739
Jordan,JOR,1955,48.603
Kazakhstan,KAZ,1955,56.211
Kenya,KEN,1955,43.7
Kiribati,KIR,1955,44.747
Kuwait,KWT,1955,55.486
Kyrgyzstan,KGZ,1955,53.961
Laos,LAO,1955,41.677
Latin America and the Caribbean,,1955,52.866
Latvia,LVA,1955,65.414
Lebanon,LBN,1955,61.507
Lesotho,LSO,1955,46.221
Liberia,LBR,1955,33.164
Libya,LBY,1955,36.914
Liechtenstein,LIE,1955,68.69
Lithuania,LTU,1955,64.336
Luxembourg,LUX,1955,66.753
Macao,MAC,1955,62.299
Madagascar,MDG,1955,37.533
Malawi,MWI,1955,35.369
Malaysia,MYS,1955,56.875
Maldives,MDV,1955,35.049
Mali,MLI,1955,27.54
Malta,MLT,1955,67.606
Marshall Islands,MHL,1955,54.792
Martinique,MTQ,1955,57.28
Mauritania,MRT,1955,41.097
Mauritius,MUS,1955,52.962
Mayotte,MYT,1955,50.241
Mexico,MEX,1955,53.184
Micronesia (country),FSM,1955,52.348
Moldova,MDA,1955,60.098
Monaco,MCO,1955,66.218
Mongolia,MNG,1955,44.346
Montenegro,MNE,1955,60.741
Montserrat,MSR,1955,59.747
Morocco,MAR,1955,46.509
Mozambique,MOZ,1955,36.554
Myanmar,MMR,1955,38.961
Namibia,NAM,1955,42.618
Nauru,NRU,1955,46.695
Nepal,NPL,1955,34.576
Netherlands,NLD,1955,72.511
New Caledonia,NCL,1955,52.74
New Zealand,NZL,1955,70.297
Nicaragua,NIC,1955,43.853
Niger,NER,1955,34.629
Nigeria,NGA,1955,34.743
Niue,NIU,1955,60.854
North Korea,PRK,1955,45.488
North Macedonia,MKD,1955,57.076
Northern America,,1955,69.282
Northern Mariana Islands,MNP,1955,55.737
Norway,NOR,1955,73.258
Oceania,,1955,60.629
Oman,OMN,1955,38.342
Pakistan,PAK,1955,40.287
Palau,PLW,1955,57.482
Palestine,PSE,1955,47.272
Panama,PAN,1955,58.161
Papua New Guinea,PNG,1955,35.832
Paraguay,PRY,1955,62.906
Peru,PER,1955,45.117
Philippines,PHL,1955,58.339
Poland,POL,1955,63.996
Portugal,PRT,1955,61.328
Puerto Rico,PRI,1955,66.239
Qatar,QAT,1955,57.261
Reunion,REU,1955,50.857
Romania,ROU,1955,61.787
Russia,RUS,1955,62.161
Rwanda,RWA,1955,40.934
Saint Barthlemy,,1955,55.246
Saint Helena,SHN,1955,61.119
Saint Kitts and Nevis,KNA,1955,54.568
Saint Lucia,LCA,1955,52.489
Saint Martin (French part),MAF,1955,55.359
Saint Pierre and Miquelon,SPM,1955,63.448
Saint Vincent and the Grenadines,VCT,1955,55.563
Samoa,WSM,1955,55.361
San Marino,SMR,1955,66.616
Sao Tome and Principe,STP,1955,47.807
Saudi Arabia,SAU,1955,43.162
Senegal,SEN,1955,36.6
Serbia,SRB,1955,60.329
Seychelles,SYC,1955,62.428
Sierra Leone,SLE,1955,29.798
Singapore,SGP,1955,62.352
Sint Maarten (Dutch part),SXM,1955,62.923
Slovakia,SVK,1955,66.887
Slovenia,SVN,1955,66.9
Solomon Islands,SLB,1955,44.007
Somalia,SOM,1955,34.994
South Africa,ZAF,1955,46.234
South Korea,KOR,1955,48.624
South Sudan,SSD,1955,29.344
Spain,ESP,1955,66.318
Sri Lanka,LKA,1955,56.709
Sudan,SDN,1955,45.875
Suriname,SUR,1955,57.469
Sweden,SWE,1955,72.446
Switzerland,CHE,1955,70.103
Syria,SYR,1955,49.05
Taiwan,TWN,1955,60.969
Tajikistan,TJK,1955,49.004
Tanzania,TZA,1955,42.073
Thailand,THA,1955,52.009
Timor,TLS,1955,31.226
Togo,TGO,1955,37.001
Tokelau,TKL,1955,61.389
Tonga,TON,1955,57.954
Trinidad and Tobago,TTO,1955,59.587
Tunisia,TUN,1955,39.597
Turkey,TUR,1955,42.195
Turkmenistan,TKM,1955,52.357
Turks and Caicos Islands,TCA,1955,56.961
Tuvalu,TUV,1955,46.745
Uganda,UGA,1955,41.507
Ukraine,UKR,1955,64.888
United Arab Emirates,ARE,1955,46.391
United Kingdom,GBR,1955,70.135
United States,USA,1955,69.263
United States Virgin Islands,VIR,1955,64.409
Uruguay,URY,1955,66.559
Uzbekistan,UZB,1955,56.989
Vanuatu,VUT,1955,46.389
Vatican,VAT,1955,52.245
Venezuela,VEN,1955,56.954
Vietnam,VNM,1955,55.494
Wallis and Futuna,WLF,1955,53.653
Western Sahara,ESH,1955,36.478
World,OWID_WRL,1955,48.286
Yemen,YEM,1955,29.397
Zambia,ZMB,1955,44.407
Zimbabwe,ZWE,1955,50.754
Afghanistan,AFG,1956,30.365
Africa,,1956,39.293
Albania,ALB,1956,57.941
Algeria,DZA,1956,44.347
American Samoa,ASM,1956,65.27
Americas,,1956,61.30299762
Andorra,AND,1956,66.844
Angola,AGO,1956,36.528
Anguilla,AIA,1956,58.069
Antigua and Barbuda,ATG,1956,59.568
Argentina,ARG,1956,64.135
Armenia,ARM,1956,64.285
Aruba,ABW,1956,63.424
Asia,,1956,43.906
Australia,AUS,1956,70.196
Austria,AUT,1956,67.567
Azerbaijan,AZE,1956,59.912
Bahamas,BHS,1956,63.98
Bahrain,BHR,1956,46.678
Bangladesh,BGD,1956,42.955
Barbados,BRB,1956,60.545
Belarus,BLR,1956,65.008
Belgium,BEL,1956,69.068
Belize,BLZ,1956,57.829
Benin,BEN,1956,35.426
Bermuda,BMU,1956,67.374
Bhutan,BTN,1956,33.291
Bolivia,BOL,1956,40.588
Bonaire Sint Eustatius and Saba,BES,1956,63.605
Bosnia and Herzegovina,BIH,1956,57.202
Botswana,BWA,1956,46.995
Brazil,BRA,1956,52.276
British Virgin Islands,VGB,1956,61.139
Brunei,BRN,1956,51.591
Bulgaria,BGR,1956,65.587
Burkina Faso,BFA,1956,32.591
Burundi,BDI,1956,40.077
Cambodia,KHM,1956,40.894
Cameroon,CMR,1956,39.955
Canada,CAN,1956,69.969
Cape Verde,CPV,1956,48.054
Cayman Islands,CYM,1956,58.947
Central African Republic,CAF,1956,34.406
Chad,TCD,1956,36.962
Channel Islands,OWID_CIS,1956,70.19
Chile,CHL,1956,55.758
China,CHN,1956,44.268
Colombia,COL,1956,54.714
Comoros,COM,1956,39.907
Congo,COG,1956,43.021
Cook Islands,COK,1956,53
Costa Rica,CRI,1956,57.872
Cote d'Ivoire,CIV,1956,32.715
Croatia,HRV,1956,62.97
Cuba,CUB,1956,61.457
Curacao,CUW,1956,63.439
Cyprus,CYP,1956,68.18
Czechia,CZE,1956,69.027
Democratic Republic of Congo,COD,1956,40.149
Denmark,DNK,1956,71.851
Djibouti,DJI,1956,42.331
Dominica,DMA,1956,57.23
Dominican Republic,DOM,1956,48.68
Ecuador,ECU,1956,50.648
Egypt,EGY,1956,45.067
El Salvador,SLV,1956,47.095
Equatorial Guinea,GNQ,1956,35.17
Eritrea,ERI,1956,35.806
Estonia,EST,1956,65.756
Eswatini,SWZ,1956,41.946
Ethiopia,ETH,1956,35.807
Europe,,1956,66.286
Faeroe Islands,FRO,1956,69.937
Falkland Islands,FLK,1956,70.116
Fiji,FJI,1956,58.634
Finland,FIN,1956,67.773
France,FRA,1956,68.86
French Guiana,GUF,1956,55.217
French Polynesia,PYF,1956,53.55
Gabon,GAB,1956,38.429
